filename,status,role,year,title,canonical_url,publication_doi,pages,sha256,notes
2024_hadipour_improved_integral_search.pdf,verified_pdf,strong_baseline,2024,"Improved Search for Integral, Impossible Differential and Zero-Correlation Attacks",https://doi.org/10.46586/tosc.v2024.i1.234-325,10.46586/tosc.v2024.i1.234-325,92,c49f8fdc81c5898a446a6a0e7726ce5d63b9a62b2a1dc155399a61b3052ad0c3,"modern automated-search baseline with PRESENT applications; text extracted with pdftotext -layout"
2024_wu_guo_integral_neural_present.pdf,verified_pdf,direct_core,2024,"Improved integral neural distinguisher model for lightweight cipher PRESENT",https://doi.org/10.1186/s42400-024-00258-0,10.1186/s42400-024-00258-0,14,c75ebdd9361deb3aa9a1860a78d47697aaa4546ee6af25760c6ca01d6f19e3a8,"current direct PRESENT r8 neural-integral anchor; identical hash to the existing Innovation 1 copy"
2025_carlet_sbox_integral_resistance.pdf,verified_pdf,adjacent_theory,2025,"A notion on S-boxes for a partial resistance to some integral attacks",,,30,f2a8c57dd4af4977dd1aa133c31689c0a12bcbb15f3105ea156ffb5ecdeb59c9,"local author manuscript on kth-order t-degree-sum-freedom and division-property propagation; relevant theoretical context but not a neural or PRESENT benchmark; canonical publication metadata remains unverified because outbound lookup was rejected"
2025_beierle_modular_addition_integral_resistance.pdf,verified_pdf,background,2025,"Integral Resistance of Block Ciphers with Key Whitening by Modular Addition",https://eprint.iacr.org/2025/1050,10.1007/978-3-032-01901-1_16,32,eb7988666203da7ae908fd63f95e52424272c522d5b58a42884b8afa36b5e1b5,"manual ePrint download; ARX/modular-addition resistance background rather than the keyed SPN target; text extracted with pdftotext -layout"
2025_singh_present_full_round_emulation.pdf,verified_pdf,adjacent,2025,"PRESENT Full Round Emulation: Structural Flaws and Predictable Outputs",https://eprint.iacr.org/2025/1069,,14,5c763a7812946150859cbfc13f20a93ebb73ef8d987de8e09e649fa28b9249be,"adjacent public-transform emulation; AddRoundKey is removed and this is not a keyed PRESENT attack"
2026_bellini_claasp_mp.pdf,verified_pdf,strong_baseline,2026,"CLAASP-MP: An Automated MILP Framework for Monomial Prediction",https://eprint.iacr.org/2026/735,,26,04696ec1b8a634ef30017a6f8eacf1ea9f8b520f2dedfffaee6958c18aa0c165,"manual ePrint download; current automated monomial-prediction and 3SDP-woU baseline; text extracted with pdftotext -layout"
2026_gerhalter_prince_integral_resistance.pdf,verified_pdf,adjacent,2026,"Integral Resistance and Degree Bounds for Complex Linear Layers: Application to PRINCE and Lower-Latency Alternatives",https://eprint.iacr.org/2026/786,,30,8edbacb61372b192e96ffe03927c54cf0efa1d23963a827bb536c927a3cb3edc,"manual ePrint download; method-level SPN integral-resistance reference, not PRESENT-specific; text extracted with pdftotext -layout"
2026_hwang_linear_algebraic_integral.pdf,verified_pdf,direct_core,2026,"Improving Neural-Inspired Integral Distinguishers via a Linear-Algebraic Approach",https://eprint.iacr.org/2026/340,,36,faaeadfd92335e6fdc1026d31cf8d6e2cf377cd118992381f11d9992bdb5c10f,"kernel/parity-matrix baseline found in the local cross-project paper library after the canonical ePrint PDF was blocked; text extracted with pdftotext -layout"
2026_peng_present_integral_resistance.pdf,verified_pdf,strong_baseline,2026,"Delving Deep into Security Guarantees against Integral Distinguishers with Applications to PRESENT, TWINE and LBLOCK",https://eprint.iacr.org/2026/961,10.1007/s10623-026-01871-5,33,7386e8669ae16cafd2192f63a7aae962147fbb683f8a44dbf6830a4fd0bd74b8,"manual ePrint download; proves 11-round PRESENT resistance and partially analyzes 10 rounds; security bound, not an 11-round distinguisher; text extracted with pdftotext -layout"
2026_zhang_neural_inspired_integral.pdf,verified_pdf,direct_core,2026,"Neural-Inspired Advances in Integral Cryptanalysis",https://arxiv.org/abs/2505.10790,10.1007/978-3-032-25333-0_16,34,7447035b9b23b1016c5caaf0bc7449887d5661b6ba952099d031c597994d0bc4,"EUROCRYPT 2026 neural feature-explorer and classical-search integration; text extracted with pdftotext -layout"
On Extending Integral Distinguishers.pdf,verified_pdf,strong_baseline,2026,"On Extending Integral Distinguishers",https://github.com/hadipourh/splitandcancel,,27,9a35913441e274bec37d7f15c2724438087279c8f5b0792d6bdd8033eb9193c7,"Split-and-Cancel exact/weak-key comparison baseline for PRESENT and GIFT; local verified copy"
,metadata_only,strong_baseline,2019,"Improved Integral Attacks on PRESENT-80",https://doi.org/10.1007/978-3-030-14234-6_9,10.1007/978-3-030-14234-6_9,,,"publisher paywall confirmed during manual retrieval; no legal open full text found; retain metadata-only status and do not treat as locally read"
,project_existing_copy,adjacent,2025,"Generic Partial Decryption as Feature Engineering for Neural Distinguishers",https://eprint.iacr.org/2025/1443,,27,185fd1f72cc1108689d60c25109054ba172f1c397a121bb76597cf5771247c11,"verified PDF and text already exist under papers/innovation_one; relevant to InvP/InvS-style feature engineering but uses differential-neural labels rather than integral labels"
,excluded_withdrawn,excluded,,"IABC: A neural integral distinguisher for AND-RX Ciphers",https://eprint.iacr.org/search?q=IABC%3A%20A%20neural%20integral%20distinguisher%20for%20AND-RX%20Ciphers,,,,"withdrawal reported during source audit; no stable paper record or valid PDF recovered; excluded from evidence corpus"
,metadata_only,background,2018,"Research on Plaintext Restoration of AES Based on Neural Network",https://doi.org/10.1155/2018/6868506,10.1155/2018/6868506,,,"publisher PDF endpoint returned HTML"
,metadata_only,background,2020,"Deep Learning-Based Cryptanalysis of Lightweight Block Ciphers",https://doi.org/10.1155/2020/3701067,10.1155/2020/3701067,,,"publisher PDF endpoint returned HTML"
,metadata_only,adjacent,2021,"A Deep Learning Approach for Active S-Box Prediction of Lightweight Generalized Feistel Block Ciphers",https://doi.org/10.1109/ACCESS.2021.3099802,10.1109/ACCESS.2021.3099802,,,"metadata verified; IEEE PDF endpoint returned HTML"
,metadata_only,background,2018,"Neural Network Based Analysis of Lightweight Block Cipher PRESENT",https://doi.org/10.1007/978-981-13-0761-4_91,10.1007/978-981-13-0761-4_91,,,"no open full text retrieved"
,metadata_only,review,2021,"Neural Networks and Cryptography: An Overview",http://www.jcr.cacrnet.org.cn/CN/Y2021/V8/I2/215,10.13868/j.cnki.jcr.000432,,,"journal endpoint returned 403"
